FIRM_ID,FIRM_NAME,SEARCH_TERM
9,FIRST EQUITY CORPORATION OF FLORIDA,:8-15025
61,B. C. ZIEGLER AND COMPANY,:8-94
212,"DELAWARE MANAGEMENT COMPANY, INC.",:8-348
289,"INVESCO DISTRIBUTORS, INC.",:8-2856
361,GOLDMAN SACHS & CO. LLC,:8-129
453,"J.J.B. HILLIARD, W.L. LYONS, LLC",:8-33133
583,UBS ASSET MANAGEMENT (US) INC.,:8-21901
759,"SECURITIES MANAGEMENT & RESEARCH, INC.",:8-12745
848,"EULAV SECURITIES, INC.",:8-11005
940,HAMBRECHT & QUIST LLC,:8-29123
1252,WILLIAM BLAIR,:8-2698
1489,"RELEVANT WEALTH ADVISORS, LLC",:8-14903
1588,DAVENPORT & COMPANY LLC,:8-17103
1697,"DUPREE & COMPANY, INC.",:8-10938
1844,"FIRST INVESTORS MANAGEMENT COMPANY, INC.",:8-8370
1845,FIRST MANHATTAN CO,:8-10438
1932,"THE PIONEER GROUP, INC.",:8-5632
2016,GLICKENHAUS & CO.,:8-9614
2288,"INGALLS & SNYDER, LLC",:8-1865
2331,"INVESTORS SECURITY COMPANY, INC.",:8-12111
2682,MASSACHUSETTS MUTUAL LIFE INSURANCE COMPANY,:8-13941
2993,H. M. PAYSON & CO.,:8-2205
2998,"BOSTON PARTNERS SECURITIES, L.L.C.",:8-15648
3004,PENN SQUARE MANAGEMENT CORPORATION,:8-13534
3140,"W. H. REAVES & CO., INC.",:8-22142
3487,STATE FARM INVESTMENT MANAGEMENT CORP.,:8-13379
3513,"T.O. RICHARDSON COMPANY, INC.",:8-37270
3524,"STRALEM & COMPANY, INCORPORATED",:8-13062
5308,"EQUITRUST INVESTMENT MANAGEMENT SERVICES, INC.",:8-15854
5393,"CHARLES SCHWAB & CO., INC.",:8-16514
5493,NEUBERGER BERMAN MANAGEMENT LLC,:8-16229
6210,WILSHIRE ASSOCIATES INCORPORATED,:8-23852
6540,ABN AMRO SECURITIES LLC,:8-17741
6566,"CHRISTOPHER WEIL & COMPANY, INC",:8-17703
6635,GUARDIAN INVESTOR SERVICES LLC,:8-14108
7036,GOLD CAPITAL MANAGEMENT INC.,:8-20374
7186,WALL STREET MANAGEMENT CORPORATION,:8-3796
7415,"KENWOOD FINANCIAL GROUP OF MINNEAPOLIS, INC.",:8-21746
8158,ROBERT W. BAIRD & CO. INCORPORATED,:8-497
8348,"T. ROWE PRICE INVESTMENT SERVICES, INC.",:8-25130
11085,"ATALANTA SOSNOFF MANAGEMENT, LLC",:8-27425
11173,"NATIONWIDE SECURITIES, LLC",:8-12500
11181,TAMARACK DISTRIBUTORS INC.,:8-7802
111945,CONSERVEST MANAGEMENT CO,:801-12634
13162,"DUNHAM & ASSOCIATES INVESTMENT COUNSEL, INC.",:8-28527
13452,ACCRUED EQUITIES INC.,:8-17356
